Event,Name,Pid,Particle_px,Particle_py,Particle_pz,Particle_E,Particle_pT
4647,pi-,-211,0.239056,-0.180037,43.6494,43.6507,0.299267
4648,pi-,-211,0.146947,-0.281825,1.73708,1.77143,0.317834
4649,pi-,-211,0.0398246,0.382794,17.1881,17.193,0.38486
4650,pi-,-211,-0.146855,-0.296281,7.57185,7.58036,0.330679
4651,pi-,-211,0.135553,-0.159011,11.9472,11.9498,0.208948
4652,pi-,-211,0.0984093,-0.2106,10.2821,10.2857,0.232458
4653,pi-,-211,-0.437736,-0.309248,18.5692,18.5774,0.535954
4654,pi0,111,-0.113562,-0.309869,37.9646,37.9663,0.330023
4655,pi0,111,0.206018,0.0977826,20.9393,20.9409,0.228046
4656,pi-,-211,0.287787,0.24146,6.21024,6.22316,0.375665
4657,pi0,111,-0.326352,0.0939673,11.589,11.5947,0.339611
4658,pi-,-211,0.0713537,0.0676803,0.521319,0.548566,0.0983462
4659,pi-,-211,-0.157598,0.0834527,3.68006,3.68703,0.17833
4660,pi-,-211,0.324762,-0.0267957,21.964,21.9668,0.325866
4661,pi0,111,-0.0246796,0.314723,22.3866,22.3893,0.315689
4662,pi0,111,-0.107145,0.313208,25.7885,25.791,0.331028
4663,pi-,-211,-0.35566,-0.354754,14.0807,14.0903,0.502339
4664,pi-,-211,-0.257151,0.0167432,13.868,13.8711,0.257696
4665,pi-,-211,0.18845,0.232236,4.24227,4.25509,0.299077
4666,pi0,111,0.252114,0.0667502,21.9091,21.911,0.260801
4667,pi-,-211,-0.153918,0.18698,5.02645,5.03421,0.242182
4668,pi-,-211,0.117725,-0.155043,14.3401,14.3421,0.194672
4669,pi-,-211,-0.377244,-0.144608,42.4165,42.4187,0.404011
4670,pi-,-211,-0.135622,0.0587902,10.2274,10.2294,0.147816
4671,pi-,-211,-0.321332,-0.192989,7.89414,7.90427,0.374832
4672,pi0,111,-0.203583,0.065251,10.7867,10.7897,0.213784
4673,pi-,-211,-0.0849846,0.122017,0.991398,1.01216,0.148696
4674,pi-,-211,-0.301487,0.107371,17.9323,17.9357,0.320036
4675,pi-,-211,-0.200495,-0.0832742,23.8401,23.8415,0.217101
4676,pi-,-211,-0.234906,0.196657,17.4964,17.4996,0.306357
4677,pi0,111,-0.149522,-0.0387695,20.4518,20.4528,0.154467
4678,pi-,-211,0.00352038,0.0860015,1.52053,1.52935,0.0860735
4679,pi-,-211,-0.237123,0.281282,5.54192,5.55587,0.367895
4680,pi-,-211,-0.0986462,-0.0643874,24.9768,24.9775,0.1178
4681,pi-,-211,-0.150427,-0.228298,10.9136,10.918,0.273401
4682,pi-,-211,0.0716588,0.062972,31.857,31.8575,0.0953963
4683,pi-,-211,-0.0594216,0.124648,2.24405,2.25263,0.138087
4684,pi-,-211,-0.0299912,-0.233425,3.49088,3.50159,0.235344
4685,pi-,-211,-0.0425355,0.0978405,6.12692,6.12944,0.106687
4686,pi-,-211,0.077666,-0.280583,40.1971,40.1984,0.291134
4687,pi0,111,-0.432721,0.312305,37.3901,37.3941,0.53365
4688,pi0,111,-0.117388,0.146735,11.64,11.6423,0.187912
4689,pi0,111,0.487995,-0.238133,11.1829,11.1968,0.542998
4690,pi-,-211,-0.057263,9.79141e-05,1.4908,1.49841,0.0572631
4691,pi-,-211,0.0609197,-0.23076,3.35378,3.36516,0.238666
4692,pi-,-211,-0.160626,-0.142822,16.616,16.618,0.214939
4693,pi-,-211,-0.24629,-0.205642,29.3832,29.3853,0.320854
4694,pi0,111,0.0312447,0.189533,8.89441,8.89751,0.192091
4695,pi-,-211,0.0771545,0.167509,3.81144,3.81845,0.184423
4696,pi0,111,0.00774391,-0.20297,3.80222,3.81003,0.203118
4697,pi-,-211,-0.187301,-0.304529,19.8325,19.8363,0.357519
4698,pi-,-211,-0.0691424,-0.451246,28.5012,28.5052,0.456513
4699,pi-,-211,-0.366347,-0.424461,15.6999,15.7105,0.560693
4700,pi-,-211,-0.156611,-0.170329,21.5057,21.5074,0.231385
4701,pi-,-211,0.00018848,0.135733,5.62456,5.62793,0.135734
4702,pi-,-211,-0.157566,0.191412,29.9798,29.9811,0.247923
4703,pi0,111,-0.289631,-0.109013,22.1984,22.2009,0.309467
4704,pi0,111,0.28864,-0.0290966,8.71475,8.72062,0.290103
4705,pi-,-211,-0.204582,-0.0379983,7.52523,7.5294,0.208081
4706,pi0,111,0.0613558,0.294502,2.35194,2.37494,0.300826
4707,pi-,-211,0.190395,0.239992,3.63759,3.65313,0.306343
4708,pi0,111,0.214891,-0.226084,43.0808,43.0822,0.311917
4709,pi-,-211,-0.0903872,-0.124726,10.4616,10.4637,0.154034
4710,pi-,-211,0.0494213,0.175997,38.8779,38.8786,0.182805
4711,pi-,-211,-0.179766,0.120944,29.6159,29.617,0.216664
4712,pi-,-211,-0.0254055,-0.00769657,2.38046,2.3847,0.0265458
4713,pi-,-211,-0.344213,0.391453,6.9576,6.97849,0.521266
4714,pi-,-211,-0.655302,-0.194415,30.0514,30.0595,0.683533
4715,pi-,-211,-0.163203,-0.269602,11.3955,11.4007,0.315152
4716,pi0,111,0.138376,-0.425932,12.5059,12.5147,0.447846
4717,pi-,-211,0.0825319,-0.0923427,0.705714,0.729966,0.123849
4718,pi0,111,0.132465,-0.182482,8.9174,8.92127,0.225492
4719,pi-,-211,-0.580908,-0.216786,13.0041,13.0196,0.62004
4720,pi-,-211,-0.195356,0.428157,2.69208,2.73647,0.470619
4721,pi0,111,-0.132311,0.252172,44.0267,44.0278,0.284775
4722,pi0,111,-0.0136924,-0.241315,10.5281,10.5318,0.241703
4723,pi-,-211,0.113804,-0.156634,33.3527,33.3536,0.193611
4724,pi-,-211,0.0943041,-0.0617791,3.32448,3.32932,0.112738
4725,pi0,111,0.292627,0.411505,8.69582,8.71151,0.504942
4726,pi-,-211,0.040609,0.0836114,4.31055,4.31381,0.0929514
4727,pi0,111,-0.238177,-0.162495,22.2221,22.2244,0.288328
4728,pi0,111,0.129668,0.180128,20.9723,20.9739,0.221946
4729,pi-,-211,0.0327331,0.176081,6.00259,6.00688,0.179097
4730,pi-,-211,-0.121984,-0.390176,39.9132,39.9156,0.4088
4731,pi0,111,-0.287585,0.0214223,38.3344,38.3357,0.288382
4732,pi-,-211,-0.0226554,0.110577,5.41968,5.42265,0.112874
4733,pi-,-211,-0.0508968,0.0431679,1.77229,1.77903,0.0667379
4734,pi0,111,-0.647199,0.0916901,20.4385,20.4494,0.653662
4735,pi-,-211,0.159191,0.0178254,5.62974,5.63375,0.160186
4736,pi0,111,0.0976615,-0.0682343,15.7075,15.7085,0.119137
4737,pi0,111,0.298279,-0.141441,3.25872,3.27818,0.330115
4738,pi-,-211,0.0710244,0.253363,12.6123,12.6159,0.263129
4739,pi-,-211,0.585114,0.00282097,40.9151,40.9195,0.585121
4740,pi0,111,0.313522,0.173327,23.4322,23.4353,0.358244
4741,pi0,111,-0.321037,0.209556,5.82905,5.84321,0.383377
4742,pi0,111,0.0478501,-0.0453085,23.3879,23.3884,0.0658976
4743,pi-,-211,0.136304,0.160058,18.2263,18.2281,0.210232
4744,pi-,-211,-0.12256,-0.19455,5.46725,5.47387,0.229937
4745,pi-,-211,-0.25316,0.023384,35.7317,35.7329,0.254238
4746,pi-,-211,0.0888426,0.30929,23.6865,23.6891,0.321797
4747,pi0,111,-0.201695,0.128991,6.57768,6.58342,0.239415
4748,pi-,-211,0.200668,0.0816424,3.67623,3.68525,0.21664
4749,pi-,-211,0.338456,-0.147507,12.21,12.2164,0.369203
4750,pi-,-211,-0.0316239,-0.096571,5.09506,5.09798,0.101617
4751,pi-,-211,0.244607,-0.0372058,22.9498,22.9516,0.247421
4752,pi-,-211,0.130213,0.566125,18.3227,18.3324,0.580907
4753,pi-,-211,0.108749,0.0802615,33.3447,33.3453,0.13516
4754,pi-,-211,-0.383898,0.41366,19.1875,19.1963,0.564351
4755,pi-,-211,-0.314536,0.330731,9.4287,9.44077,0.456416
4756,pi0,111,-0.288216,0.334292,37.2121,37.215,0.441384
4757,pi-,-211,0.328443,-0.331064,12.6391,12.6485,0.466345
4758,pi-,-211,0.50216,-0.0050009,13.1268,13.1371,0.502185
4759,pi-,-211,0.0747104,0.0132831,25.8063,25.8068,0.075882
4760,pi-,-211,0.18578,0.395332,11.6534,11.6624,0.436809
4761,pi0,111,-0.250838,-0.0747275,24.122,24.1238,0.261733
4762,pi0,111,-0.0507127,-0.259323,25.4791,25.4809,0.264235
4763,pi-,-211,0.150437,-0.0446335,1.31726,1.3339,0.156919
4764,pi-,-211,-0.131045,-0.184141,2.26863,2.28413,0.226011
4765,pi-,-211,-0.17367,0.0855524,9.37752,9.38055,0.193599
4766,pi0,111,-0.109508,0.478909,33.396,33.3999,0.491269
4767,pi0,111,0.696028,-0.0901142,27.9341,27.9433,0.701837
4768,pi-,-211,-0.0405981,-0.143588,14.4596,14.4611,0.149217
4769,pi-,-211,-0.00207615,-0.30207,11.9762,11.9808,0.302077
4770,pi0,111,0.258568,-0.42794,11.0483,11.0605,0.49999
4771,pi0,111,0.163695,0.177629,4.28222,4.29115,0.241554
